date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:26	7391/7391	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:26%20GMT	http://www.badaramdwara.org/about.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/about.html	(from http://www.badaramdwara.org/)
16:42:28	11227/11227	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:26%20GMT	http://www.badaramdwara.org/guru.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/guru.html	(from http://www.badaramdwara.org/)
16:42:28	42989/42989	---M--	200	added ('OK')	image/gif	date:Tue,%2014%20Jan%202014%2011:35:26%20GMT	http://www.badaramdwara.org/images/lo.gif	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/lo.gif	(from http://www.badaramdwara.org/)
16:42:28	10418/10418	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:27%20GMT	http://www.badaramdwara.org/goshala.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/goshala.html	(from http://www.badaramdwara.org/)
16:42:29	9519/9519	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:28%20GMT	http://www.badaramdwara.org/bhojanshala.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/bhojanshala.html	(from http://www.badaramdwara.org/)
16:42:30	7913/7913	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:29%20GMT	http://www.badaramdwara.org/video.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/video.html	(from http://www.badaramdwara.org/)
16:42:32	8197/8197	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:29%20GMT	http://www.badaramdwara.org/photo.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/photo.html	(from http://www.badaramdwara.org/)
16:42:33	109969/109969	---M--	200	added ('OK')	image/gif	date:Tue,%2014%20Jan%202014%2011:26:14%20GMT	http://www.badaramdwara.org/images/banner.gif	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/banner.gif	(from http://www.badaramdwara.org/)
16:42:33	8016/8016	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:32%20GMT	http://www.badaramdwara.org/audiolist.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/audiolist.html	(from http://www.badaramdwara.org/)
16:42:34	9667/9667	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:33%20GMT	http://www.badaramdwara.org/book.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/book.html	(from http://www.badaramdwara.org/)
16:42:35	8090/8090	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:34%20GMT	http://www.badaramdwara.org/donateform.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/donateform.html	(from http://www.badaramdwara.org/)
16:42:35	9384/9384	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:34%20GMT	http://www.badaramdwara.org/contact.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/contact.html	(from http://www.badaramdwara.org/)
16:42:46	96719/96719	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2013:20:44%20GMT	http://www.badaramdwara.org/images/slider/slider-img-1.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/slider/slider-img-1.jpg	(from http://www.badaramdwara.org/)
16:42:47	8795/8795	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:46%20GMT	http://www.badaramdwara.org/photo_gallery1.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/photo_gallery1.html	(from http://www.badaramdwara.org/)
16:42:57	125057/125057	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2013:21:02%20GMT	http://www.badaramdwara.org/images/slider/slider-img-3.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/slider/slider-img-3.jpg	(from http://www.badaramdwara.org/)
16:43:00	70929/70929	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2012:00:16%20GMT	http://www.badaramdwara.org/images/gallery/f1.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/gallery/f1.jpg	(from http://www.badaramdwara.org/)
16:43:03	16496/16496	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:43:00%20GMT	http://www.badaramdwara.org/pravachan.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/pravachan.html	(from http://www.badaramdwara.org/)
16:43:08	207023/207023	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2013:20:56%20GMT	http://www.badaramdwara.org/images/slider/slider-img-2.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/slider/slider-img-2.jpg	(from http://www.badaramdwara.org/)
16:43:09	71378/71378	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2012:00:38%20GMT	http://www.badaramdwara.org/images/gallery/live.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/gallery/live.jpg	(from http://www.badaramdwara.org/)
16:43:10	1449/1449	---M--	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202014%2010:40:06%20GMT	http://www.badaramdwara.org/aboutenglish.html	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/aboutenglish.html	(from http://www.badaramdwara.org/)
16:43:11	9672/9672	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:43:10%20GMT	http://www.badaramdwara.org/donation.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/donation.html	(from http://www.badaramdwara.org/)
